Nom;ID;Latitude;Longitude;Coordonnées
LIEBRECHT;1026;50.889654;4.318172;50.889654, 4.318172
LINKEBEEK GARE;1954;50.774199;4.339177;50.774199, 4.339177
LIVINGSTONE;2970;50.845283;4.377939;50.845283, 4.377939
LOMBARDIE;6077;50.824722;4.346427;50.824722, 4.346427
LONGCHAMP;5255;50.811950;4.367844;50.81195, 4.367844
LOT STATION;9658;50.765858;4.273708;50.765858, 4.273708
LOUIS BERTRAND;5357;50.866749;4.385387;50.866749, 4.385387
LOUIS BERTRAND;5305G;50.865454;4.385089;50.865454, 4.385089
LOUIS MARCELIS;5523;50.846286;4.484263;50.846286, 4.484263
LOUISE;3624;50.834945;4.355877;50.834945, 4.355877
LOWET;4112;50.874008;4.310317;50.874008, 4.310317
LUXEMBOURG;4370;50.839539;4.371223;50.839539, 4.371223
MA CAMPAGNE;5020;50.822287;4.353340;50.822287, 4.35334
MADOU;1571;50.849697;4.369619;50.849697, 4.369619
MADOUX;5508;50.827135;4.444943;50.827135, 4.444943
MAELBEEK;6467;50.844896;4.376434;50.844896, 4.376434
MAELBEEK;8051;50.843800;4.377144;50.8438, 4.377144
MANOIR D'ANJOU;1853;50.829285;4.455393;50.829285, 4.455393
