from_stop_id,to_stop_id,line,departure,arrival
6652,6654,51,2016-03-22 17:25:42.406753,2016-03-22 17:27:42.672805
6654,3223,51,2016-03-22 17:27:42.672805,2016-03-22 17:30:23.161713
3223,6650,51,2016-03-22 17:30:23.161713,2016-03-22 17:31:23.484644
6650,6655,51,2016-03-22 17:31:23.484644,2016-03-22 17:32:42.796823
6655,6656,51,2016-03-22 17:32:42.796823,2016-03-22 17:33:23.052009
6656,6657,51,2016-03-22 17:33:23.052009,2016-03-22 17:35:03.390141
6657,702,51,2016-03-22 17:35:03.390141,2016-03-22 17:38:23.344773
702,703,51,2016-03-22 17:38:23.344773,2016-03-22 17:39:43.29266
703,704,51,2016-03-22 17:39:43.29266,2016-03-22 17:41:03.291215
704,705,51,2016-03-22 17:41:03.291215,2016-03-22 17:42:44.919834
705,707,51,2016-03-22 17:42:44.919834,2016-03-22 17:44:03.274758
707,2956,51,2016-03-22 17:44:03.274758,2016-03-22 17:46:03.534065
2956,5848,51,2016-03-22 17:46:03.534065,2016-03-22 17:47:03.631782
5848,5812,51,2016-03-22 17:47:03.631782,2016-03-22 17:49:03.663017
5812,5813,51,2016-03-22 17:49:03.663017,2016-03-22 17:50:43.551234
5813,5814,51,2016-03-22 17:50:43.551234,2016-03-22 17:51:43.9382
5814,5815,51,2016-03-22 17:51:43.9382,2016-03-22 17:54:03.836757
5815,5816,51,2016-03-22 17:54:03.836757,2016-03-22 17:55:04.746545
5816,1926,51,2016-03-22 17:55:04.746545,2016-03-22 17:57:25.540917
1926,1928,51,2016-03-22 17:57:25.540917,2016-03-22 18:00:04.938389
1928,5817,51,2016-03-22 18:00:04.938389,2016-03-22 18:02:04.272772
5817,5825,51,2016-03-22 18:02:04.272772,2016-03-22 18:03:45.029874
5825,5826,51,2016-03-22 18:03:45.029874,2016-03-22 18:05:24.719173
5826,5823,51,2016-03-22 18:05:24.719173,2016-03-22 18:06:44.347171
5812,5813,51,2016-03-22 17:25:42.406753,2016-03-22 17:27:02.607247
5813,5814,51,2016-03-22 17:27:02.607247,2016-03-22 17:28:22.751119
5814,5815,51,2016-03-22 17:28:22.751119,2016-03-22 17:31:23.484644
5815,5816,51,2016-03-22 17:31:23.484644,2016-03-22 17:32:22.847129
5816,1926,51,2016-03-22 17:32:22.847129,2016-03-22 17:34:23.063716
1926,1928,51,2016-03-22 17:34:23.063716,2016-03-22 17:37:03.295912
1928,5817,51,2016-03-22 17:37:03.295912,2016-03-22 17:39:03.064741
5817,5825,51,2016-03-22 17:39:03.064741,2016-03-22 17:41:03.291215
5825,5826,51,2016-03-22 17:41:03.291215,2016-03-22 17:43:23.373875
5826,5823,51,2016-03-22 17:43:23.373875,2016-03-22 17:45:23.18841
3259,6604,51,2016-03-22 05:16:12.735868,2016-03-22 05:17:12.492276
6604,6606,51,2016-03-22 05:17:12.492276,2016-03-22 05:19:32.771008
6606,6607,51,2016-03-22 05:19:32.771008,2016-03-22 05:20:32.721558
6607,5071,51,2016-03-22 05:20:32.721558,2016-03-22 05:21:32.778764
5071,5072,51,2016-03-22 05:21:32.778764,2016-03-22 05:22:32.908456
5072,5089,51,2016-03-22 05:22:32.908456,2016-03-22 05:23:12.819901
5089,5074,51,2016-03-22 05:23:12.819901,2016-03-22 05:24:32.875668
5074,5076,51,2016-03-22 05:24:32.875668,2016-03-22 05:25:13.043714
5076,5077,51,2016-03-22 05:25:13.043714,2016-03-22 05:26:13.075779
5077,5078,51,2016-03-22 05:26:13.075779,2016-03-22 05:27:13.108202
5078,5079,51,2016-03-22 05:27:13.108202,2016-03-22 05:27:53.037742
5079,5080,51,2016-03-22 05:27:53.037742,2016-03-22 05:30:13.32766
3259,6604,51,2016-03-22 05:24:53.057978,2016-03-22 05:26:53.202601
6604,6606,51,2016-03-22 05:26:53.202601,2016-03-22 05:28:13.162532
